,r6i1p1f1,r21i1p2f1,r13i1p2f1,r19i1p2f1,r17i1p1f1,r3i1p2f1,r11i1p1f1,r14i1p2f1,r14i1p1f1,r7i1p2f1,r12i1p2f1,r12i1p1f1,r17i1p2f1,r7i1p1f1,r25i1p1f1,r11i1p2f1,r18i1p1f1,r4i1p2f1,r21i1p1f1,r15i1p2f1,r23i1p2f1,r9i1p1f1,r25i1p2f1,r20i1p2f1
1941,1.153479377,-1.083319023,-0.000877007,-0.974210137,-0.918709343,3.238444587,2.644588386,-2.938768242,-1.122610405,-1.60842614,2.23335334,1.470539009,0.680977241,3.030545112,4.820420295,1.975781929,1.677071907,0.870082161,0.443793709,2.032574531,3.284907295,-0.143056267,-1.24937188,-1.762303093
1942,3.29746772,-0.391931389,-4.177961357,-3.089569023,1.779607307,1.994232551,-1.426538323,3.222479622,1.038523018,0.556026375,-1.087008904,1.131951057,-1.228316887,-1.158629692,0.343661873,1.012073127,-1.770584038,-0.194105767,1.382486946,3.925147468,1.165460579,-1.560405815,2.057554695,-2.249933403
1943,1.811761543,-0.412212151,3.638570625,1.530341255,1.70168769,-0.585290154,0.390935737,1.493490059,-1.177744377,0.193211128,1.649855415,-0.740461052,0.993126899,0.980582649,-3.614000786,0.554114448,1.216091682,2.697855598,0.196984932,-1.884271172,-2.849792412,-0.384201592,3.612349617,-3.387677239
1944,-2.887507256,2.160017769,-1.729322136,2.387731086,2.096627266,0.133645698,1.917855903,-0.507385796,-0.233849419,0.022636482,1.292358772,0.69832801,0.667690193,-3.935797661,1.736431038,3.579877998,8.452143013,3.638584968,1.624767219,-2.294456719,-1.973078545,-1.656926811,-2.427506035,-2.047083672
1945,1.823742439,-1.010755852,-1.334681938,-4.080390251,2.012947151,1.564034492,1.909925911,-0.296567314,-1.666274956,0.875336067,1.283153755,-1.517054375,-0.942351616,1.359488594,3.348417732,-1.741243218,0.897802192,-0.57315728,1.684405891,2.258786995,2.702438728,0.563184273,-2.708203362,0.438502266
1946,4.2112873,2.579107734,0.756708442,3.044494697,1.689505684,1.556737129,-0.88650689,-0.882347954,0.00288459,2.316848823,-1.307141045,1.901143867,-0.520026482,-1.84354699,4.182342293,0.887093269,1.232900154,0.986714241,-2.479184197,-2.923048638,1.576066047,3.731294319,0.870130378,2.769180671
1947,3.315360786,1.599723579,0.471214668,0.720052559,0.73414405,1.129392463,-3.512764214,0.312160713,-2.222421196,-3.359625481,0.407621528,1.483258125,-1.240042656,-2.085627678,-1.541536492,-0.677300347,0.176402046,2.739317085,0.425898506,2.009380867,1.028782722,-0.836757744,1.214426643,-1.154069145
1948,2.303382332,-2.600693291,9.32930915,1.44041114,0.124368355,0.4949253,2.782725593,1.326535103,0.134104377,1.308749763,2.066729194,1.292313301,2.099982063,-1.88471093,0.180814888,-4.211882256,2.113055183,1.547759468,0.395607673,1.026812813,-1.1082528,2.296462166,1.423992073,1.539703438
1949,1.519807808,-1.113387688,0.903930122,-0.288879326,0.91438575,-3.864473198,0.697064583,1.016450569,1.019130317,0.785181648,1.386084053,-3.607803887,1.713110725,-0.881377495,0.198943855,1.092218696,1.562104866,-1.483132256,-3.047850884,3.79878791,-1.546392754,-0.123496941,1.225217659,-0.678135002
1950,1.798005134,-2.706061638,0.871749946,-0.179795159,-0.024315422,2.01558387,-2.759563225,2.442639534,-3.052711113,-1.601729363,0.367201301,0.11908332,-1.800869988,-3.649307488,-0.650039299,-0.492033928,3.204231331,-0.431321038,-1.424211052,1.070600044,0.156361763,-0.443627251,-1.803585442,2.452183906
